Id,SalePrice
1461,106543.32
1462,168906.22
1463,194505.81
1464,195378.84
1465,187552.72
1466,173208.84
1467,175173.22
1468,163095.08
1469,189505.94
1470,130982.51
1471,202879.06
1472,97876.7
1473,90210.695
1474,149412.81
1475,125009.65
1476,392958.47
1477,259174.83
1478,288106.22
1479,250374.9
1480,548234.4
1481,331591.72
1482,209896.98
1483,166382.73
1484,164647.9
1485,176615.08
1486,188820.77
1487,384334.4
1488,235413.5
1489,216904.97
1490,203838.3
1491,188928.77
1492,86417.59
1493,190220.16
1494,299769.6
1495,299645.66
1496,228463.36
1497,183521.53
1498,170196.97
1499,163775.75
1500,148888.94
1501,187029.39
1502,153549.58
1503,292458.88
1504,243332.03
1505,233082.48
1506,186826.88
1507,258581.86
1508,210682.33
1509,167456.17
1510,146851.6
1511,144911.97
1512,169877.02
1513,132774.17
1514,184610.38
1515,209400.75
1516,148428.4
1517,159709.61
1518,128826.305
1519,231281.9
1520,131716.25
1521,136516.73
1522,165362.39
1523,110382.5
1524,122785.305
1525,124472.48
1526,115842.266
1527,108384.69
1528,134104.34
1529,145484.42
1530,175601.97
1531,116411.32
1532,109590.18
1533,153927.9
1534,123406.65
1535,161130.1
1536,97316.46
1537,62144.383
1538,168894.08
1539,223976.0
1540,94288.57
1541,149192.7
1542,144001.84
1543,225283.64
1544,85701.695
1545,114971.1
1546,130025.016
1547,135049.33
1548,150703.39
1549,119165.555
1550,139517.92
1551,123160.555
1552,164383.75
1553,157454.72
1554,118140.336
1555,167226.58
1556,88931.18
1557,109613.04
1558,92137.77
1559,89777.21
1560,140539.39
1561,137770.88
1562,122019.43
1563,125357.375
1564,157435.0
1565,149212.92
1566,249508.38
1567,72297.52
1568,237117.7
1569,152773.12
1570,131605.31
1571,124470.42
1572,154829.11
1573,238846.44
1574,112065.45
1575,221839.3
1576,227986.81
1577,199869.33
1578,143826.77
1579,147824.98
1580,195177.89
1581,157449.2
1582,119142.164
1583,330290.56
1584,225577.48
1585,140273.58
1586,64842.34
1587,96084.97
1588,159932.75
1589,98966.305
1590,127195.984
1591,94083.66
1592,109784.09
1593,126835.3
1594,147274.56
1595,111466.336
1596,239422.42
1597,186201.66
1598,201717.9
1599,181349.55
1600,173324.06
1601,67257.52
1602,109961.99
1603,84987.2
1604,310592.1
1605,238814.97
1606,168322.6
